leads_tempo_desde_evento_anterior_mean,leads_tempo_desde_evento_anterior_std,leads_tempo_desde_evento_anterior_75,leads_tempo_desde_evento_anterior_max,leads_score_midia_mean,leads_score_midia_std,leads_score_midia_min,leads_score_midia_25,leads_score_midia_50,leads_score_midia_75,leads_score_midia_max,leads_vg_mean,leads_vg_std,leads_vg_min,leads_vg_25,leads_vg_50,leads_vg_75,leads_vg_max,leads_m2_anuncio_mean,leads_m2_anuncio_std,leads_m2_anuncio_25,leads_m2_anuncio_50,leads_m2_anuncio_75,leads_m2_anuncio_max,leads_in_dorm_mean,leads_in_dorm_75,leads_in_dorm_max,leads_dl_area_total_mean,leads_dl_area_total_std,leads_dl_area_total_50,leads_dl_area_total_75,leads_dl_area_total_max,leads_in_garagens_totais_mean,leads_in_garagens_totais_25,leads_in_garagens_totais_50,leads_in_garagens_totais_75,leads_in_garagens_totais_max,leads_in_garagens_mean,leads_in_garagens_max,leads_evento_quinta,leads_opercao_locacao,leads_finalidade_residencial,leads_tipo_ocupacao_desocupado,leads_tipo_ocupacao_nao_informado,leads_tx_estado_count,leads_imobiliaria_count,leads_qtd_pesquisas,tempo_min_lead_ate_hj,tempo_max_lead_ate_hj
82.86,158.08,131.0,425.0,15176.33,16242.6,7.0,7.0,13209.0,32313.0,32313.0,112500.0,76795.18,0.0,90000.0,120000.0,140000.0,235000.0,1003.8,1597.61,0.0,900.0,1000.0,4122.80701754386,0.17,0.0,1.0,162.08,93.55,187.5,250.0,250.0,1.33,1.0,1.0,1.0,4.0,0.67,4.0,2.0,0.0,6.0,1.0,4.0,1.0,3.0,7.0,599.0,17.0
59.0,83.44,118.0,118.0,32313.0,9489.073329383884,32313.0,32313.0,32313.0,32313.0,32313.0,1800.0,1106351.192412627,1800.0,1800.0,1800.0,1800.0,1800.0,29.03,26553.218435297436,29.03226,29.03226,29.03226,29.032258064516128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,136.0,17.0
307.63,347.35,584.0,946.0,8114.67,5911.37,2503.0,3714.0,7950.0,13209.0,17174.0,1740000.0,2736640.28,160000.0,160000.0,160000.0,4900000.0,4900000.0,266.67,230.94,0.0,400.0,400.0,400.0,1.0,3.0,3.0,650266.67,1125602.08,400.0,1950000.0,1950000.0,0.67,0.0,1.0,1.0,1.0,0.33,1.0,1.0,0.0,2.0,3.0,0.0,1.0,5.0,8.0,2482.0,17.0
47.54,55.42,69.0,159.0,15191.5,2803.68,13209.0,13209.0,17174.0,17174.0,17174.0,114308.33,271676.04,3000.0,3400.0,4500.0,5500.0,870000.0,1316.09,3019.26,36.66667,43.52279,46.875,8846.153846153846,0.67,2.0,3.0,32.05,49.77,0.0,90.0,118.8,1.3,1.0,1.0,2.0,2.0,0.25,1.0,3.0,10.0,12.0,6.0,4.0,1.0,4.0,13.0,640.0,17.0
232.9,259.14,511.0,670.0,12195.83,11033.08,3714.0,4138.0,9605.0,17174.0,32313.0,366000.0,344934.78,0.0,0.0,540000.0,540000.0,750000.0,2880.0,3943.6,0.0,0.0,7200.0,7200.0,1.0,2.0,3.0,30.0,41.08,0.0,75.0,75.0,0.33,0.0,0.0,1.0,1.0,0.2,1.0,0.0,0.0,3.0,0.0,3.0,1.0,9.0,11.0,2350.0,17.0
83.57,191.8,27.0,518.0,12045.33,5798.74,5753.0,5753.0,13209.0,17174.0,17174.0,552000.0,175520.65,315000.0,495000.0,550000.0,600000.0,800000.0,3603.74,2137.33,3846.15385,4230.76923,4230.76923,5711.022272986864,2.2,3.0,3.0,1255.2,2137.0,302.0,600.0,5064.0,3.0,2.0,3.0,3.0,5.0,2.4,5.0,1.0,0.0,4.0,0.0,3.0,4.0,6.0,7.0,605.0,17.0
18.29,889.62,1.0,53690.0,2751.5,6437.04,0.0,17.0,179.0,2007.0,37444.0,724511.24,1382116.37,0.0,27446.7403,451142.66443,908020.03184,21960000.0,4524.67,5090.56,31.81947,3484.77107,6729.2553,25396.8253968254,0.48,0.0,6.0,790.05,15061.32,75.58753,158.13057,488000.0,1.89,1.0,1.0,2.0,20.0,0.36,12.0,909.0,228.0,961.0,320.0,425.0,16.0,1114.0,7728.0,99100.0,17.0
262.0,486.06,990.0,990.0,12678.0,6358.3,8182.0,8182.0,17174.0,17174.0,17174.0,750.0,504.98,0.0,950.0,950.0,1100.0,1100.0,11.85,7.9,15.71429,15.83333,15.83333,15.833333333333334,0.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,3.0,1.0,2.0,4.0,1067.0,17.0
24.84,81.3,7.0,483.0,9957.88,10937.72,98.0,1554.0,9605.0,17174.0,32313.0,52513.44,168291.17,0.0,1200.0,1700.0,2300.0,690000.0,417.04,1372.94,12.8,23.4375,34.32836,6500.0,0.97,2.0,4.0,213.08,397.51,64.0,250.0,1637.0,1.6,1.0,1.0,1.0,10.0,0.78,6.0,10.0,23.0,28.0,10.0,15.0,1.0,24.0,38.0,971.0,17.0
45.0,80.31,165.0,165.0,17174.0,9489.073329383884,17174.0,17174.0,17174.0,17174.0,17174.0,250000.0,168325.08,150000.0,150000.0,200000.0,500000.0,500000.0,714.29,1428.57,0.0,0.0,2857.14286,2857.1428571428573,0.0,0.0,0.0,304.69,9.38,300.0,318.75,318.75,1.33,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,1.0,4.0,199.0,17.0
